Title,Author,Year,Genre
The Little Prince,Antoine de Saint-Exupéry,1943,Science fantasy
1984,George Orwell,1949,Dystopian
Brave New World,Aldous Huxley,1932,Dystopian
Fahrenheit 451,Ray Bradbury,1953,Dystopian
Pride and Prejudice,Jane Austen,1813,Romance
Emma,Jane Austen,1815,Romance
The Notebook,Nicholas Sparks,1996,Romance
The Hobbit,J.R.R. Tolkien,1937,Fantasy
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,Fantasy
The Name of the Wind,Patrick Rothfuss,2007,Fantasy
The Catcher in the Rye,J.D. Salinger,1951,Classic
To Kill a Mockingbird,Harper Lee,1960,Classic
Moby-Dick,Herman Melville,1851,Classic
Sapiens,Yuval Noah Harari,2011,Non-Fiction
Educated,Tara Westover,2018,Non-Fiction
Becoming,Michelle Obama,2018,Non-Fiction
Gone Girl,Gillian Flynn,2012,Thriller
The Girl with the Dragon Tattoo,Stieg Larsson,2005,Thriller
The Da Vinci Code,Dan Brown,2003,Thriller
The Road,Cormac McCarthy,2006,Post-Apocalyptic
Station Eleven,Emily St. John Mandel,2014,Post-Apocalyptic
World War Z,Max Brooks,2006,Post-Apocalyptic
The Shining,Stephen King,1977,Horror
It,Stephen King,1986,Horror
Dracula,Bram Stoker,1897,Horror
